"Original_country_name_in_FUBC_report","Country","ISO3_code","Region_IFA","Year","FUBC_report_number","Year_FUBC_publication","Crop","Crop_area_k_ha","N_k_t","P2O5_k_t","K2O_k_t","N_P2O5_K2O_k_t","N_rate_kg_ha","P2O5_rate_kg_ha","K2O_rate_kg_ha","N_pc_fert","P2O5_pc_fert","K2O_pc_fert","Aver_N_rate_kg_ha","Aver_P2O5_rate_kg_ha","Aver_K2O_rate_kg_ha","Aver_N_P2O5_K2O_rate_kg_ha"
"BANGLADESH","Bangladesh","BGD","South Asia","1989",1,1992,"Wheat",592,34.5,23.9,8.3,66.7,62,51,26,94,79,54,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Barley",100,15,7,10.5,32.5,150,70,105,100,100,100,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Grasslands & Pastures",640,115.2,38.4,38.4,192,180,60,60,100,100,100,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Maize (Green, silage)",120,18,12,27.6,57.6,150,100,230,100,100,100,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Potato",40,8,3.2,13.6,24.8,200,80,340,100,100,100,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Rapeseed",8,1.7,0.6,2.4,4.7,210,75,300,100,100,100,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Sugar Beet",110,16.5,12.1,30.3,58.9,150,110,275,100,100,100,NA,NA,NA,NA
"BELGIUM","Belgium","BEL","Western and Central Europe","1991",1,1992,"Wheat",186,27.9,13,19.5,60.5,150,70,105,100,100,100,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Cassava",120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Cotton",151,5.3,0.8,0.8,NA,35,5,5,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Groundnut",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Maize",450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Millet",41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Oil-Palm",300,NA,NA,NA,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Pulses",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENIN","Benin","BEN","Africa","1991",1,1992,"Sorghum",150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Carrot",4,0.2,0.1,0,0.3,40,15,10,100,100,100,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Maize",35,0.4,0,0,0.4,11,0,0,100,0,0,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Onion",7,0.4,0.1,0.1,0.5,50,15,10,100,100,100,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Peach",2,0,0,0,0.1,10,10,10,100,100,100,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Potato",80,2.4,4.8,0,7.2,30,60,NA,100,100,NA,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Rice",16,0.3,0,0,0.4,20,2,2,100,100,100,NA,NA,NA,NA
"BOLIVIA","Bolivia (Plurinational State of)","BOL","Latin America","1991",1,1992,"Tomato",5,0.3,0.4,0.1,0.7,50,70,20,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Banana",490,13.2,10.8,19.6,43.6,27,22,40,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Barley",120,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Cassava",1968,2,11.8,13.8,27.6,1,6,7,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Castor bean",240,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Cocoa",660,5.3,11.2,4.6,21.1,8,17,7,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Coconut",190,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Coffee",3019,108.7,24.2,93.6,226.4,36,8,31,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Cotton",1570,18.8,64.4,33,116.2,12,41,21,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Forestry",974,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Fruits (Other)",286,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Garlic",14,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Grape",58,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Groundnut",85,0.7,2.9,1.4,4.9,8,34,16,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Maize",12598,NA,NA,NA,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Oat",21,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Oil-Palm",48,NA,NA,NA,4,NA,0,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Onion",79,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Orange",880,45.8,49.3,49.3,144.3,52,NA,NA,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Other",867,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Pasture & Fodder",13448,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Pepper and chilli",24,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Pineapple",37,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Potato",160,15.8,41,23.2,80,99,256,145,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Pulses",5516,22.1,126.9,55.2,204.1,4,23,10,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Rice",4175,41.8,112.7,54.3,208.8,10,27,13,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Roots/Tubers (Other)",10,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Sorghum",148,NA,NA,NA,7,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Soybean",11491,34.5,425.2,137.9,597.5,3,37,12,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Sugar cane",4904,201.1,186.4,235.4,622.8,41,38,48,100,100,100,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Tobacco",285,NA,NA,NA,89,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Tomato",64,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Vegetables",361,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRAZIL","Brazil","BRA","Latin America","1989",1,1992,"Wheat",3363,26.9,151.3,50.4,228.7,8,45,15,100,100,100,NA,NA,NA,NA
"BURKINA FASO","Burkina Faso","BFA","Africa","1991",1,1992,"Cereals",2655,3.6,3.6,1.8,8.9,2,2,1,67,67,67,NA,NA,NA,NA
"BURKINA FASO","Burkina Faso","BFA","Africa","1991",1,1992,"Cotton",161,5,4.2,2.6,11.8,31,26,16,100,100,100,NA,NA,NA,NA
"BURKINA FASO","Burkina Faso","BFA","Africa","1991",1,1992,"Groundnut",219,0,0,0,0.1,0,0,0,100,100,100,NA,NA,NA,NA
"BURKINA FASO","Burkina Faso","BFA","Africa","1991",1,1992,"Pulses",470,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Barley",4603,161.1,80.6,48.3,290,50,25,15,70,70,70,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Maize",1203,162.4,54.1,102.9,319.4,150,50,95,90,90,90,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Oat",913,9.6,6.4,1.6,17.6,30,20,5,35,35,35,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Other",794,1.2,2.4,0.6,4.2,10,20,5,15,15,15,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Potato",120,11.4,14.8,10.3,36.5,100,130,90,95,95,95,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Rapeseed",3363,255.6,63.9,47.9,367.4,80,20,15,95,95,95,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Rye",195,3.1,1.6,0.4,5.1,40,20,5,40,40,40,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Soybean",593,5.6,19.7,62,87.3,10,35,110,95,95,95,NA,NA,NA,NA
"CANADA","Canada","CAN","North America","1991",1,1992,"Wheat",14943,537.9,298.9,59.8,896.6,45,25,5,80,80,80,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Fruits",194,21.3,4.9,13.6,39.8,110,25,70,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Grape",59,3.8,1.5,2.4,7.7,65,25,40,NA,NA,NA,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Grasslands & Pastures",773,11.3,19.3,2.3,32.9,15,25,3,NA,NA,NA,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Maize",110,27.5,11,2.8,41.3,250,100,25,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Oat",71,5,4.6,0,9.6,70,65,0,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Other",185,11.8,8.7,0.7,21.2,64,47,4,NA,NA,NA,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Potato",63,6.3,6.9,3.5,16.7,100,110,55,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Pulses",95,2.4,6.2,0,8.6,25,65,0,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Rapeseed",34,4.4,5.1,0.7,10.2,130,150,20,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Sugar Beet",49,9.8,12.3,4.4,26.5,200,250,90,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Vegetables",80,8,4.8,2.8,15.6,100,60,35,100,100,100,NA,NA,NA,NA
"CHILE","Chile","CHL","Latin America","1991",1,1992,"Wheat",507,48.2,40.6,2.5,91.3,95,80,5,100,100,100,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Banana",95,9.5,2.8,4.3,16.6,100,35,45,100,85,100,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Barley",960,67.2,27.4,1,95.5,70,30,5,100,95,20,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Cabbage",464,51,13.9,3.7,68.7,110,30,10,100,100,80,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Canteloupe/Others",129,7.7,0.7,2.5,10.9,60,7,20,100,80,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Carrot",128,14.1,4.9,7.3,26.2,110,40,60,100,95,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Cassava",232,18.6,1.2,2.3,22,80,10,15,100,50,65,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Castor bean",290,17.4,7.3,4.6,29.3,60,25,20,100,100,80,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Cotton",5600,560,176.4,28,764.4,100,35,10,100,90,50,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"cucumber",250,27.5,12.5,2.4,42.4,110,50,10,100,100,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Eggplant",183,16.5,4.6,1.2,22.3,90,25,7,100,100,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Flax",141,11.3,2.8,1.4,15.5,80,20,10,100,100,100,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Garlic",75,9,2.6,1.8,13.3,120,40,25,100,85,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Grape",165,18.2,6.6,8.6,33.4,110,40,55,100,100,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Groundnut",3085,154.3,97.2,44.4,295.9,50,35,18,100,90,80,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Jute",311,28,7.8,3.1,38.9,90,25,10,100,100,100,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Linseed",160,8,2.4,0.2,10.6,50,15,5,100,100,30,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Maize",21087,2108.7,253,126.5,2488.3,100,20,20,100,60,30,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Millet",2601,130.1,35.1,1.6,166.7,50,15,2,100,90,30,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Oat",400,20,2.8,0.6,23.4,50,10,3,100,70,50,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Onion",248,22.3,6.7,2.4,31.4,90,30,10,100,90,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Orange",236,33,5.7,3.4,42.1,140,30,15,100,80,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Other",13687,1231.8,342.2,136.9,1710.9,90,25,10,100,100,100,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Pepper and chilli",173,13.8,6.1,1.2,21,80,35,7,100,100,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Potato",2852,342.2,121.9,45.6,509.8,120,45,20,100,95,80,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Potato (Sweet)",9112,1275.7,182.2,218.7,1676.6,140,25,30,100,80,80,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Pulses",4417,176.7,198.8,42,417.4,40,50,10,100,90,95,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Rice",32890,4275.7,1332,920.9,6528.7,130,45,40,100,90,70,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Rye",650,52,6.8,0.8,59.6,80,15,3,100,70,40,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Sesame",721,43.3,13,2.9,NA,60,20,5,100,90,80,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Sorghum",1900,171,15.2,1.7,187.9,90,10,3,100,80,30,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Soybean",7624,266.8,289.7,68.6,625.2,35,40,12,100,95,75,NA,NA,NA,NA
"CHINA","China","CHN","East Asia","1990",1,1992,"Squash and gourd",100,10,3.6,0.9,14.5,100,40,10,100,90,90,NA,NA,NA,NA
