"Original_country_name_in_FUBC_report","Original_crop_name_in_FUBC_report","Year","Year_for_FAO_area","FAO_area_ha","IFA_area_ha","FAO_area_used_Yes_No","IFA_N_t","IFA_P2O5_t","IFA_K2O_t","Comment","Survey_respondent"
"Australia","Seed cotton","2018",2018,485101,NA,"Yes",88737.1418624318,28066.8400673928,16162.6317605163,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Area refers to cotton; nutrient quantities refers to fiber crops.","IFA estimates"
"Australia","Soybeans","2018",2018,32073,NA,"Yes",0,0,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Australia","Sugar cane","2018",2018,442958,NA,"Yes",63170.5788809266,23502.1307727559,52519.7267095399,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Australia","Wheat","2018",2018,10919180,NA,"Yes",426944.462644684,271326.259707738,38130.9175259126,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Australia","Grassland","2018",2018,327589000,NA,"Yes",81388.5366578912,320351.555291749,87931.0589612361,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Australia","Residual","2018",2018,2166894,NA,"Yes",232139.188055647,72135.6112086423,15085.7140184253,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Maize green, Pulses, Treenuts, Roots and Tubers, Vegetables.","IFA estimates"
"Australia","Maize","2018",2018,52783,NA,"Yes",13485.5324234925,5055.24717572861,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Austria","Wheat","2017/18",2018,294290,282000,"No",30456,2820,4230,NA,"Fertilizers Europe"
"Austria","Grain maize, including corn cob maize","2017/18",2018,209900,209500,"No",21997.5,9637,10475,NA,"Fertilizers Europe"
"Austria","Green maize","2017/18",2018,0,82200,"No",7450.6,2194.528,2710,"Silage maize + Maize for biogas","Fertilizers Europe"
"Austria","Other cereals","2017/18",2018,274750,285100,"No",21065.2,2193.7,3015.8,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Austria","Oilseed rape","2017/18",2018,40500,40500,"No",4779,1099.98,1417.5,NA,"Fertilizers Europe"
"Austria","Other oil crops","2017/18",2018,118660,115300,"No",2907.866,1006.569,1268.3,"Sunflower, soya, linseed","Fertilizers Europe"
"Austria","Sugar beet","2017/18",2018,31250,42700,"No",3416,2070.95,2690.1,NA,"Fertilizers Europe"
"Austria","Fruits & Treenuts","2017/18",2018,59420,62000,"No",1922,620,806,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Austria","Vegetables","2017/18",2018,15580,16300,"No",1711.5,901.227,1141,NA,"Fertilizers Europe"
"Austria","Pulses (peas, beans)","2017/18",2018,20630,22900,"No",25.00850605,22.213,22.9,NA,"Fertilizers Europe"
"Austria","Potato","2017/18",2018,23760,23000,"No",2185,1227.05,1610,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Austria","Total Grassland","2017/18",2018,1407340,1190000,"No",9090,2727,3030,NA,"Fertilizers Europe"
"Austria","Fertilized forests","2017/18",2018,NA,0,"No",1,1,1,NA,"Fertilizers Europe"
"Austria","Other crops","2017/18",2018,0,157300,"No",5491.87000000001,2167.95,2545.2,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Bangladesh","Fruit Primary","2018",2018,389619,NA,"Yes",45671.5391793153,46531.5046971845,25670.9478694256,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Other cereals","2018",2018,8230,NA,"Yes",0,0,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Other Oil Crops","2018",2018,433623,NA,"Yes",10765.1515580402,18068.949576931,25211.8760591712,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Rice, paddy","2018",2018,11515000,NA,"Yes",1056510.18970466,404131.80089382,260131.186834126,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Roots and Tubers, Total","2018",2018,501394,NA,"Yes",52095.2567149764,56614.5884541141,37480.4165473502,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Seed cotton","2018",2018,37458,NA,"Yes",1491.84744326996,927.413487643344,647.016967049368,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. Area refers to cotton; nutrient quantities refers to fiber crops.","IFA estimates"
"Bangladesh","Sugar cane","2018",2018,90156,NA,"Yes",8994.88004275609,8387.55977598618,8777.46586529731,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Vegetables Primary","2018",2018,616749,NA,"Yes",51272.1612469816,69650.1104705267,46110.2910801888,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Wheat","2018",2018,351213,NA,"Yes",16560.6441211564,9265.49716070293,4848.10762755589,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Grassland","2018",2018,600000,NA,"Yes",0,0,0,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Bangladesh","Residual","2018",2018,516199,NA,"Yes",35062.8996986127,19617.3044494371,12317.5434648155,"Based on 2014 fertilizer application rates and 2018 FAO harvested area. The residual area includes Citrus Fruit, Pulses, Soybeans and Tea.","IFA estimates"
"Bangladesh","Maize","2018",2018,400478,NA,"Yes",42275.4302902275,47305.2710336541,23205.1476850196,"Based on 2014 fertilizer application rates and 2018 FAO harvested area","IFA estimates"
"Belarus","Wheat","2018",2018,660001,613500,"No",64800,17400,53000,NA,"Belarusian Potash Company"
"Belarus","Maize, Green (silage, bioenergy)","2018",2018,NA,802700,"No",74300,17400,63800,NA,"Belarusian Potash Company"
"Belarus","Other Cereals","2018",2018,1299816,1263300,"No",96700,27300,93100,NA,"Belarusian Potash Company"
"Belarus","Rapeseed / Canola","2018",2018,349474,352000,"No",44000,11800,31600,NA,"Belarusian Potash Company"
"Belarus","Other Oil Crops","2018",2018,22428,NA,"No",0,0,0,NA,"Belarusian Potash Company"
"Belarus","Sugar Beet","2018",2018,100878,99600,"No",14600,7400,19400,NA,"Belarusian Potash Company"
"Belarus","Roots & Tubers (potato)","2018",2018,271772,26200,"No",2200,1500,3500,NA,"Belarusian Potash Company"
"Belarus","Fruits & Treenuts","2018",2018,95322,27600,"No",291.8,89.6,325,NA,"Belarusian Potash Company"
"Belarus","Vegetables","2018",2018,60968,5900,"No",400,200,600,NA,"Belarusian Potash Company"
"Belarus","Pulses","2018",2018,167367,172600,"No",4500,3200,10300,NA,"Belarusian Potash Company"
"Belarus","Grassland (grasses and meadows and pastures)","2018",2018,2630000,4092100,"No",81700,9200,82100,NA,"Belarusian Potash Company"
"Belarus","Flax (fiber)","2018",2018,45571,50000,"No",1100,2800,5100,NA,"Belarusian Potash Company"
"Belarus","Residual","2018",2018,NA,32800,"No",2508,510,2375,NA,"Belarusian Potash Company"
"Belarus","Maize Grain","2018",2018,174541,170500,"No",17800,5800,17400,NA,"Belarusian Potash Company"
"Belgium","Wheat","2017/18",2018,195690,197454,"No",32777.364,1777.086,4936.35,NA,"Fertilizers Europe"
"Belgium","Grain maize, including corn cob maize","2017/18",2018,53990,49093,"No",2454.65,1129.139,1276.418,NA,"Fertilizers Europe"
"Belgium","Green maize","2017/18",2018,0,188904,"No",9445.2,4344.792,7972.968,"Silage maize + Maize for biogas","Fertilizers Europe"
"Belgium","Other cereals","2017/18",2018,54840,86877,"No",9606.825,745.621,2938.226,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Belgium","Oilseed rape","2017/18",2018,11310,14093,"No",2113.95,465.069,1493.858,NA,"Fertilizers Europe"
"Belgium","Other oil crops","2017/18",2018,240,16112,"No",322.24,435.024,1256.736,"Sunflower, soya, linseed","Fertilizers Europe"
"Belgium","Sugar beet","2017/18",2018,62700,62581,"No",7321.977,2315.497,8072.949,NA,"Fertilizers Europe"
"Belgium","Fruits & Treenuts","2017/18",2018,20380,25031,"No",1251.55,550.682,1001.24,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Belgium","Vegetables","2017/18",2018,62200,52095,"No",7814.25,2604.75,3802.935,NA,"Fertilizers Europe"
"Belgium","Pulses (peas, beans)","2017/18",2018,3820,4043,"No",80.86,64.688,242.58,NA,"Fertilizers Europe"
"Belgium","Potato","2017/18",2018,93330,93478,"No",13647.788,2149.994,12713.008,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Belgium","Total Grassland","2017/18",2018,573000,637993,"No",97612.98,2870.97,14929.044,NA,"Fertilizers Europe"
"Belgium","Fertilized forests","2017/18",2018,NA,8000,"No",120,120,0,NA,"Fertilizers Europe"
"Belgium","Other crops","2017/18",2018,0,31969,"No",1307.92,359.232,736.128,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Bolivia","Wheat","2018",2018,199569,203372.605025443,"No",2644.12386600021,1282.129364,555.6,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Rice","2018",2018,169776,169649.573025202,"No",2449.53155782852,530.192589274416,606.992589274416,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Maize Grain","2018",2018,462187,452656.201766279,"No",5990.38553632949,4163.73029855932,2743.417545,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Maize, Green (silage, bioenergy)","2018",2018,9426,NA,"No",NA,NA,NA,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Other Cereals","2018",2018,568602,571719.420183076,"No",2190,220,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Soybeans","2018",2018,1362925,1317103.25829649,"No",2748.59026622835,11468.9696701591,13127.2127194143,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Oil Palm","2018",2018,0,0,"No",0,0,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Rapeseed / Canola","2018",2018,0,0,"No",0,0,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Other Oil Crops","2018",2018,149936,155986.154588282,"No",12,16,4,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Cotton","2018",2018,126000,3645.54171875,"No",0,0,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Sugar Beet","2018",2018,0,0,"No",0,0,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Sugar Cane","2018",2018,168180,164811.8905,"No",1176.852,412.6272,270,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Tea","2018",2018,274,273.842,"No",0,0,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Coffee","2018",2018,24596,24596.4071476058,"No",4.7961976,6.0981976,6.3461976,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Cocoa","2018",2018,10341,10340.832,"No",0.012,0.0624,0.072,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Roots & Tubers","2018",2018,228478,225715.57005869,"No",55.07064,53.47224,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Fruits & Treenuts","2018",2018,260275,148107.088028376,"No",528.00189,160.4211,67.6584,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Vegetables","2018",2018,83594,168830.751671637,"No",362.0967479725,415.3893839725,61.6797274125,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Pulses","2018",2018,100373,NA,"No",0,0,0,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Grassland","2018",2018,33000000,2349062,"No",980,60,60,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Forages","2018",2018,NA,120963.24,"No",60.7162,95.4298,12.57,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Bolivia","Residual","2018",2018,NA,3999.62399016879,"No",NA,NA,NA,NA,"Llanos Rocha, J.L. 2019 (Coord). Plan Nacional de Fertilización y Nutrición Vegetal. INIAF, ANAPO; CIAB."
"Brazil","Wheat","2018",2018,2080204,2441500,"No",135415,78267,108134,NA,"AgroConsult"
"Brazil","Rice","2018",2018,1872155,1850700,"No",153187,65793,68479,NA,"AgroConsult"
"Brazil","Grain Maize","2018",2018,16126368,17496750,"No",1197743,699756,777689,NA,"AgroConsult"
"Brazil","Green Maize (silage, bioenergy)","2018",2018,0,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Other Cereals","2018",2018,1404461,732300,"No",21900,19466,33364,NA,"AgroConsult"
"Brazil","Soybeans","2018",2018,34777936,35874100,"No",562028,3315279,3200684,NA,"AgroConsult"
"Brazil","Oil Palm","2018",2018,161558,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Rapeseed / Canola","2018",2018,34000,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Other Oil Crops","2018",2018,541377,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Cotton","2018",2018,1150014,1641231,"No",391442,218714,273885,NA,"AgroConsult"
"Brazil","Sugar Beet","2018",2018,0,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Sugar Cane","2018",2018,10013452,11772103,"No",895579,239138,772828,NA,"AgroConsult"
"Brazil","Tea","2018",2018,211,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Coffee","2018",2018,1863966,2192248,"No",353157,91653,248554,NA,"AgroConsult"
"Brazil","Cocoa","2018",2018,577191,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Roots & Tubers","2018",2018,1413960,125548,"No",18469,51822,37871,NA,"AgroConsult"
"Brazil","Fruits & Treenuts","2018",2018,2574557,1761224,"No",85695,69764,115854,NA,"AgroConsult"
"Brazil","Orange","2018",2018,680325,713047,"No",57577,23504,25386,NA,"AgroConsult"
"Brazil","Vegetables","2018",2018,362946,3152055,"No",123830,102911,123879,NA,"AgroConsult"
"Brazil","Pulses","2018",2018,2874573,0,"No",0,0,0,NA,"AgroConsult"
"Brazil","Grassland","2018",2018,173360801,2598856,"No",111745,41590,89710,NA,"AgroConsult"
"Brazil","Tobacco","2018",2018,356212,360321,"No",80429,48634,30465,NA,"AgroConsult"
"Brazil","Commercial Forests","2018",2018,NA,8415084,"No",137751,161517,178034,NA,"AgroConsult"
"Brazil","Residual","2018",2018,NA,2681887,"No",62922,41465,55011,NA,"AgroConsult"
"Bulgaria","Wheat","2017/18",2018,1212010,1212000,"No",151500,27876,9696,NA,"Fertilizers Europe"
"Bulgaria","Grain maize, including corn cob maize","2017/18",2018,444620,445000,"No",57850,6675,5785,NA,"Fertilizers Europe"
"Bulgaria","Green maize","2017/18",2018,NA,27000,"No",2430,270,135,"Silage maize (no maize for biogas in Bulgaria)","Fertilizers Europe"
"Bulgaria","Other cereals","2017/18",2018,161140,162000,"No",13148,2116,728,"Barley, rye, triticale, oats, rice","Fertilizers Europe"
"Bulgaria","Oilseed rape","2017/18",2018,182620,183000,"No",21045,4575,2928,NA,"Fertilizers Europe"
"Bulgaria","Other oil crops","2017/18",2018,798170,798000,"No",71820,12768,10374,"Sunflower, soya, linseed","Fertilizers Europe"
"Bulgaria","Sugar beet","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Bulgaria","Fruits & Treenuts","2017/18",2018,78980,150000,"No",13500,4050,3375,"nuts, herbs, bushes, vineyards","Fertilizers Europe"
"Bulgaria","Vegetables","2017/18",2018,20990,58000,"No",7540,2900,2204,NA,"Fertilizers Europe"
"Bulgaria","Pulses (peas, beans)","2017/18",2018,96440,96000,"No",384,384,192,NA,"Fertilizers Europe"
"Bulgaria","Potato","2017/18",2018,14100,14000,"No",1820,1204,924,"Data for potatoes can be used as proxy for Roots and tubers","Fertilizers Europe"
"Bulgaria","Total Grassland","2017/18",2018,1518000,1395000,"No",20,0,20,NA,"Fertilizers Europe"
"Bulgaria","Fertilized forests","2017/18",2018,0,0,"No",0,0,0,NA,"Fertilizers Europe"
"Bulgaria","Other crops","2017/18",2018,NA,197000,"No",8330,6785,548,"Other crops include tobacco, poppy, fodder (legumes), fodder (other), short rotation coppice, perenial herbaceous crops","Fertilizers Europe"
"Burkina Faso","Cotton","2017",2017,844895,645000,"No",41050,24390,24390,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Sorghum","2017",2017,1667193,173000,"No",3154,2861,2042,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Millet","2017",2017,1222575,1187000,"No",1235,943,673,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Rice","2017",2017,165086,170000,"No",2924,1351,919,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Cow pea","2017",2017,1157290,228000,"No",451,363,249,"belongs to pulses","AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Fruits and vegetables","2017",2017,50341,64000,"No",472,299,238,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Sugar cane","2017",2017,4817,4000,"No",162,220,538,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Soybeans","2017",2017,17434,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Other Oil Crops","2017",2017,927607,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Roots and Tubers","2017",2017,20752,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Treenuts","2017",2017,128220,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Other cereals","2017",2017,15679,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Other pulses","2017",2017,73840,NA,"No",NA,NA,NA,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Burkina Faso","Maize","2017",2017,956386,911000,"No",32643,17651,12095,NA,"AfricaFertilizer.Org initiative within the International Fertilizer Development Center"
"Canada","Wheat","2018/19",2019,9655600,10125700,"No",864237,319415,81077,NA,"Fertilizer Canada"
"Canada","Rice","2018/19",2019,0,0,"No",0,0,0,NA,"Fertilizer Canada"
"Canada","Grain Maize","2018/19",2019,1451200,1495500,"No",216824,74861,81488,NA,"Fertilizer Canada"
"Canada","Green Maize","2018/19",2019,16227,429700,"No",31150,10755,11707,NA,"Fertilizer Canada"
"Canada","Other Cereals","2018/19",2019,4208500,4940100,"No",359995,144296,29915,NA,"Fertilizer Canada"
"Canada","Soybeans","2018/19",2019,2270500,2312500,"No",13532,57065,54860,NA,"Fertilizer Canada"
"Canada","Rapeseed/Canola","2018/19",2019,8319200,8480600,"No",912684,299743,66490,NA,"Fertilizer Canada"
"Canada","Other Oil Crops","2018/19",2019,530354,608000,"No",38420,13937,1695,NA,"Fertilizer Canada"
"Canada","Sugar, Total (Beet)","2018/19",2019,12400,16700,"No",1325,663,884,NA,"Fertilizer Canada"
"Canada","Roots & Tubers","2018/19",2019,138339,146538,"No",25156,12867,27335,NA,"Fertilizer Canada"
"Canada","Fruits & Treenuts","2018/19",2019,86462,128597,"No",11038,5646,11994,NA,"Fertilizer Canada"
"Canada","Vegetables","2018/19",2019,89396,101684,"No",8728,4464,9484,NA,"Fertilizer Canada"
"Canada","Pulses","2018/19",2019,3505600,3639500,"No",32292,104008,19113,NA,"Fertilizer Canada"
"Canada","Grassland","2018/19",2019,NA,5081309,"No",8135,7616,2093,"FAO has no estimate of grassland area for 2019","Fertilizer Canada"
"Canada","Tame Hay","2018/19",2019,NA,5541760,"No",88717,83063,22832,"FAO has no estimate for tame hay","Fertilizer Canada"
"Canada","Residual","2018/19",2019,NA,717812,"No",0,0,0,"Fertilizer Canada reports no fertilizer use on Residual category","Fertilizer Canada"
"Chile","Wheat","2018",2018,236415,270000,"No",54000,22500,6000,NA,"SQM"
"Chile","Rice","2018",2018,29522,18000,"No",1700,1500,360,NA,"SQM"
"Chile","Maize, Green (silage, bioenergy)","2018",2018,9899,15000,"No",3500,2000,2500,NA,"SQM"
"Chile","Other Cereals","2018",2018,157177,150000,"No",25000,20000,8000,NA,"SQM"
"Chile","Rapeseed / Canola","2018",2018,56533,40000,"No",7500,5000,1500,NA,"SQM"
"Chile","Other Oil Crops","2018",2018,35388,NA,"No",NA,NA,NA,NA,"SQM"
"Chile","Sugar Beet","2018",2018,21672,15000,"No",3000,2500,2000,NA,"SQM"
"Chile","Roots & Tubers","2018",2018,42669,45000,"No",7000,9000,7000,NA,"SQM"
"Chile","Fruits & Treenuts","2018",2018,467174,475000,"No",45000,9000,35000,NA,"SQM"
"Chile","Vegetables","2018",2018,71972,80000,"No",13000,10000,8000,NA,"SQM"
"Chile","Pulses","2018",2018,39009,NA,"No",NA,NA,NA,NA,"SQM"
"Chile","Grassland","2018",2018,14015000,1000000,"No",25000,20000,10000,NA,"SQM"
"Chile","Grassland (intensive)","2018",2018,NA,300000,"No",30000,30000,20000,NA,"SQM"
"Chile","Maize Grain","2018",2018,89058,105000,"No",30000,11500,11000,NA,"SQM"
"China","Wheat","2018",2018,24266190,22889000,"No",4854756.9,2856547.2,1702941.6,"Area estimate (2015) taken from Luo Y, Zhang Z, Ziyue L, Chen Y, Zhang L, Cao J, Tao F. 2020. Identifying the spatiotemporal changes of annual harvesting areas for three staple crops in China by integrating multi-data sources. Environmental Research Letters 15: 074003.","Ping He and Weifeng Zhang based on NDRC data"
"China","Rice","2018",2018,30189450,28336000,"No",5032473.6,2204540.8,2349054.4,"Area estimate (2015) taken from Luo Y, Zhang Z, Ziyue L, Chen Y, Zhang L, Cao J, Tao F. 2020. Identifying the spatiotemporal changes of annual harvesting areas for three staple crops in China by integrating multi-data sources. Environmental Research Letters 15: 074003.","Ping He and Weifeng Zhang based on NDRC data"
"China","Maize, Total","2018",2018,42149887,37348000,"No",7081180.8,4130688.8,2662912.4,"Area estimate (2015) taken from Luo Y, Zhang Z, Ziyue L, Chen Y, Zhang L, Cao J, Tao F. 2020. Identifying the spatiotemporal changes of annual harvesting areas for three staple crops in China by integrating multi-data sources. Environmental Research Letters 15: 074003.","Ping He and Weifeng Zhang based on NDRC data"
"China","Soybeans","2018",2018,8412770,8244800,"Yes",408019.345,413067.007,248176.715,NA,"Ping He and Weifeng Zhang based on NDRC data"
"China","Rapeseed / Canola","2018",2018,6550610,6653000,"Yes",831272.409,419894.101,298707.816,NA,"Ping He and Weifeng Zhang based on NDRC data"
